主性格	属性增加	属性减少	随机子性格(概率相等)
大胆	物攻▲	物防▼	喜欢独处、警惕性强、有些敏感、独立自主、似乎有点黏人
固执	物攻▲	魔攻▼	喜欢随心所欲、有点倔强、不服输、领地意识强、坚持自我
调皮	物攻▲	魔防▼	喜欢捣乱、精力充沛、活泼好动、偶尔会闯祸、经常撒娇
勇敢	物攻▲	速度▼	喜欢挑战、好奇心旺盛、无所畏惧、偶尔会冲动、坚韧不屈
逞强	物攻▲	生命▼	喜欢交朋友、自由自在、常与同伴打闹、偶尔会任性、经常撒娇
稳重	物防▲	物攻▼	喜欢探险、有些冒失、总是一往直前、行动有些冲动、喜欢新鲜事物
天真	物防▲	魔攻▼	喜欢胡闹、好奇心旺盛、有些粗心、偶尔会恶作剧、喜欢寻求关注
懒散	物防▲	魔防▼	喜欢打瞌睡、常常偷懒、有些迟钝、偶尔会打呼噜、总是漫不经心
悠闲	物防▲	速度▼	喜欢看风景、从容不迫、悠然自得、偶尔会发呆、总是慢吞吞
坦率	物防▲	生命▼	喜欢宁静、善于忍耐、害怕陌生事物、行动谨慎、非常黏人
聪明	魔攻▲	物攻▼	喜欢独处、享受安静、谨小慎微、行动谨慎、总是一板一眼
专注	魔攻▲	物防▼	非常可靠、经常思考、一丝不苟、决策慎重、总是不慌不忙
偏执	魔攻▲	魔防▼	喜欢玩闹、不拘小节、丢三落四、常常闯祸、活泼好动
冷静	魔攻▲	速度▼	喜欢思考、临危不乱、行动谨慎、有些迟钝、总是慢条斯理
理性	魔攻▲	生命▼	非常敏锐、专注力强、有些偏执、专心致志、一丝不苟
警惕	魔防▲	物攻▼	喜欢思考、偶尔会任性、行动谨慎、总是有条不紊、总是深思熟虑
温顺	魔防▲	物防▼	喜欢撒娇、乖巧听话、友善宽和、善于忍耐、温柔体贴
害羞	魔防▲	魔攻▼	行动谨慎、有一点任性、偶尔会不听指令、善于忍耐、谨小慎微
慎重	魔防▲	速度▼	争强好胜、经常吵闹、行为强势、不轻易放弃、容易得意忘形
焦虑	魔防▲	生命▼	善于抗压、非常勤奋、吃苦耐劳、意志坚强、有些执拗
胆小	速度▲	物攻▼	对动静非常敏感、逃跑飞快、警惕性强、总是小心翼翼、有些粘人
急躁	速度▲	物防▼	容易生气、喜欢赛跑、迅疾如风、有些莽撞、行动迅捷
开朗	速度▲	魔攻▼	爱与同伴嬉闹、热情阳光、喜欢自由驰骋、有些冲动、有时会心不在焉
莽撞	速度▲	魔防▼	喜欢新奇事物、偶尔惹祸、总是三心二意、喜欢被夸奖、非常粘人
热情	速度▲	生命▼	容易生气、缺乏耐心、喜欢赛跑、反应迅速、有点容易得意忘形
沉默	生命▲	物攻▼	喜欢独自沉思、总是默默无闻、总是十分被动、疏于交朋友、缺乏自信
忧郁	生命▲	物防▼	喜欢独自沉思、有些冷漠、善于观察、思维敏捷、总是深思熟虑
平和	生命▲	魔攻▼	情绪稳定、喜欢拥抱、悠闲自在、值得信任、偶尔会偷吃
粗心	生命▲	魔防▼	喜欢发呆、无精打采、有些消极、总是闷闷不乐、善于观察
踏实	生命▲	速度▼	喜欢独处、非常黏人、缺乏安全感、总是忐忑不安、善于观察
