id,name,group,source_page,column_index,row_index,crop_center_xy,bbox_square_xyxy,raw_crop_path,icon_128_path
001,迪莫,group_001-016,001-064,1,1,,"[190, 0, 294, 104]",raw_crops/group_001-016/001_迪莫.png,icons_128/group_001-016/001_迪莫.png
002,喵喵,group_001-016,001-064,1,2,,"[188, 97, 299, 208]",raw_crops/group_001-016/002_喵喵.png,icons_128/group_001-016/002_喵喵.png
003,喵呜,group_001-016,001-064,1,3,,"[182, 198, 301, 317]",raw_crops/group_001-016/003_喵呜.png,icons_128/group_001-016/003_喵呜.png
004,魔力猫,group_001-016,001-064,1,4,,"[182, 305, 301, 424]",raw_crops/group_001-016/004_魔力猫.png,icons_128/group_001-016/004_魔力猫.png
005,火花,group_001-016,001-064,1,5,,"[183, 422, 301, 540]",raw_crops/group_001-016/005_火花.png,icons_128/group_001-016/005_火花.png
006,焰火,group_001-016,001-064,1,6,,"[184, 534, 295, 645]",raw_crops/group_001-016/006_焰火.png,icons_128/group_001-016/006_焰火.png
007,火神,group_001-016,001-064,1,7,,"[175, 631, 298, 754]",raw_crops/group_001-016/007_火神.png,icons_128/group_001-016/007_火神.png
008,水蓝蓝,group_001-016,001-064,1,8,,"[190, 753, 295, 858]",raw_crops/group_001-016/008_水蓝蓝.png,icons_128/group_001-016/008_水蓝蓝.png
009,波波拉,group_001-016,001-064,1,9,,"[181, 843, 298, 960]",raw_crops/group_001-016/009_波波拉.png,icons_128/group_001-016/009_波波拉.png
010,水灵,group_001-016,001-064,1,10,,"[175, 940, 303, 1068]",raw_crops/group_001-016/010_水灵.png,icons_128/group_001-016/010_水灵.png
011,鸭吉吉,group_001-016,001-064,1,11,,"[183, 1055, 299, 1171]",raw_crops/group_001-016/011_鸭吉吉.png,icons_128/group_001-016/011_鸭吉吉.png
012,板板壳,group_001-016,001-064,1,12,,"[187, 1170, 295, 1278]",raw_crops/group_001-016/012_板板壳.png,icons_128/group_001-016/012_板板壳.png
013,咔咔壳,group_001-016,001-064,1,13,,"[184, 1272, 299, 1387]",raw_crops/group_001-016/013_咔咔壳.png,icons_128/group_001-016/013_咔咔壳.png
014,水泡壳,group_001-016,001-064,1,14,,"[176, 1376, 294, 1494]",raw_crops/group_001-016/014_水泡壳.png,icons_128/group_001-016/014_水泡壳.png
015,锥尾羊,group_001-016,001-064,1,15,,"[182, 1493, 294, 1605]",raw_crops/group_001-016/015_锥尾羊.png,icons_128/group_001-016/015_锥尾羊.png
016,铃兰羊,group_001-016,001-064,1,16,,"[178, 1582, 302, 1706]",raw_crops/group_001-016/016_铃兰羊.png,icons_128/group_001-016/016_铃兰羊.png
017,花影羚羊,group_017-032,001-064,2,1,,"[489, 0, 615, 126]",raw_crops/group_017-032/017_花影羚羊.png,icons_128/group_017-032/017_花影羚羊.png
018,雪绒鸟,group_017-032,001-064,2,2,,"[505, 122, 606, 223]",raw_crops/group_017-032/018_雪绒鸟.png,icons_128/group_017-032/018_雪绒鸟.png
019,冬羽雀,group_017-032,001-064,2,3,,"[503, 226, 608, 331]",raw_crops/group_017-032/019_冬羽雀.png,icons_128/group_017-032/019_冬羽雀.png
020,岚鸟,group_017-032,001-064,2,4,,"[496, 324, 608, 436]",raw_crops/group_017-032/020_岚鸟.png,icons_128/group_017-032/020_岚鸟.png
021,小灵菇,group_017-032,001-064,2,5,,"[500, 436, 613, 549]",raw_crops/group_017-032/021_小灵菇.png,icons_128/group_017-032/021_小灵菇.png
022,幻灵菇,group_017-032,001-064,2,6,,"[495, 532, 617, 654]",raw_crops/group_017-032/022_幻灵菇.png,icons_128/group_017-032/022_幻灵菇.png
023,幻影灵菇,group_017-032,001-064,2,7,,"[493, 635, 620, 762]",raw_crops/group_017-032/023_幻影灵菇.png,icons_128/group_017-032/023_幻影灵菇.png
024,石肤蜥,group_017-032,001-064,2,8,,"[503, 760, 608, 865]",raw_crops/group_017-032/024_石肤蜥.png,icons_128/group_017-032/024_石肤蜥.png
025,石刺蜥,group_017-032,001-064,2,9,,"[503, 854, 608, 959]",raw_crops/group_017-032/025_石刺蜥.png,icons_128/group_017-032/025_石刺蜥.png
026,石冠王蜥,group_017-032,001-064,2,10,,"[494, 950, 609, 1065]",raw_crops/group_017-032/026_石冠王蜥.png,icons_128/group_017-032/026_石冠王蜥.png
027,布是石,group_017-032,001-064,2,11,,"[506, 1068, 607, 1169]",raw_crops/group_017-032/027_布是石.png,icons_128/group_017-032/027_布是石.png
028,布是岩,group_017-032,001-064,2,12,,"[503, 1170, 611, 1278]",raw_crops/group_017-032/028_布是岩.png,icons_128/group_017-032/028_布是岩.png
029,布克棱岩,group_017-032,001-064,2,13,,"[496, 1266, 611, 1381]",raw_crops/group_017-032/029_布克棱岩.png,icons_128/group_017-032/029_布克棱岩.png
030,恶魔叮,group_017-032,001-064,2,14,,"[506, 1385, 607, 1486]",raw_crops/group_017-032/030_恶魔叮.png,icons_128/group_017-032/030_恶魔叮.png
031,叮叮恶魔,group_017-032,001-064,2,15,,"[500, 1479, 612, 1591]",raw_crops/group_017-032/031_叮叮恶魔.png,icons_128/group_017-032/031_叮叮恶魔.png
032,毛毛,group_017-032,001-064,2,16,,"[497, 1590, 607, 1700]",raw_crops/group_017-032/032_毛毛.png,icons_128/group_017-032/032_毛毛.png
033,爬爬,group_033-048,001-064,3,1,,"[826, 8, 929, 111]",raw_crops/group_033-048/033_爬爬.png,icons_128/group_033-048/033_爬爬.png
034,化蝶,group_033-048,001-064,3,2,,"[810, 101, 927, 218]",raw_crops/group_033-048/034_化蝶.png,icons_128/group_033-048/034_化蝶.png
035,幽影树,group_033-048,001-064,3,3,,"[816, 213, 932, 329]",raw_crops/group_033-048/035_幽影树.png,icons_128/group_033-048/035_幽影树.png
036,小鼠獭,group_033-048,001-064,3,4,,"[826, 329, 928, 431]",raw_crops/group_033-048/036_小鼠獭.png,icons_128/group_033-048/036_小鼠獭.png
037,燕尾獭,group_033-048,001-064,3,5,,"[821, 426, 933, 538]",raw_crops/group_033-048/037_燕尾獭.png,icons_128/group_033-048/037_燕尾獭.png
038,卷胡巨獭,group_033-048,001-064,3,6,,"[818, 526, 936, 644]",raw_crops/group_033-048/038_卷胡巨獭.png,icons_128/group_033-048/038_卷胡巨獭.png
039,矿晶虫,group_033-048,001-064,3,7,,"[822, 641, 932, 751]",raw_crops/group_033-048/039_矿晶虫.png,icons_128/group_033-048/039_矿晶虫.png
040,晶石蜗,group_033-048,001-064,3,8,,"[816, 739, 934, 857]",raw_crops/group_033-048/040_晶石蜗.png,icons_128/group_033-048/040_晶石蜗.png
